folio,uri
102r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_102r.jp2
205r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_205r.jp2
197v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_197v.jp2
237r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_237r.jp2
199v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_199v.jp2
223r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_223r.jp2
075v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_075v.jp2
142v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_142v.jp2
023v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_023v.jp2
123r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_123r.jp2
116v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_116v.jp2
081r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_081r.jp2
196v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_196v.jp2
237v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_237v.jp2
015v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_015v.jp2
089r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_089r.jp2
156r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_156r.jp2
046r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_046r.jp2
019v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_019v.jp2
140r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_140r.jp2
245x,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_245av.jp2
177r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_177r.jp2
184v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_184v.jp2
137v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_137v.jp2
112v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_112v.jp2
088r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_088r.jp2
147r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_147r.jp2
030v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_030v.jp2
270v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_270v.jp2
