pagen,neume,id,ulx,uly,lrx,lry
16,Clivis Episema c,m-37247f80-52e3-43ec-b6cd-494e3b328b13,2677,1780,2748,1846
16,Tractulus Simple,m-c61cab37-9994-4562-9d06-099e89a0777a,3450,1452,3475,1463
16,Quilismatorculus resupinus Simple,m-0785e272-d269-4a36-b0dc-8df5c4c20fdb,4427,1774,4592,1864
16,Virga Simple,m-b8e50b88-6dd2-468f-b971-cfabfd5bfd0c,1468,2108,1519,2160
16,Punctum Simple,m-9f64fead-2fed-4b9e-8384-ba067f424a80,1639,2081,1653,2098
16,Punctum Simple,m-73cce575-8e96-4c46-ae01-a465322d054a,1653,1787,1674,1802
16,Liquescent Stropha Simple,m-5427884e-e926-4c85-9501-5454d20407ac,1654,2104,1680,2126
16,Pes Quadratus,m-7f25a7ca-adaf-47ff-968a-af01424a97b2,1730,2123,1815,2195
16,Virga strata (or with Punktum: Pressus maior) Simple,m-f0d523b6-00de-4628-ab7e-550be28ae2da,1815,2124,1862,2154
16,Punctum Simple,m-90a1929f-cf88-49dd-8a82-c92286df4dbc,2622,1815,2636,1831
16,Pes Rotundus,m-322641ca-a199-45bf-b895-759825e132b2,3080,2098,3156,2163
16,Tractulus Simple,m-db1b58d6-1f7d-4df6-861d-8ad95dc09b67,3617,2135,3647,2148
16,Pes Rotundus,m-262de386-302d-4a54-90d7-c844c4dd673f,3760,2085,3846,2159
16,Tractulus Simple,m-0a28d34f-a8ad-4172-9019-c2ab2b5bd079,3904,2133,3939,2146
16,Tractulus Simple,m-0a466245-d4b1-4c13-bc30-b6f5e653d417,4012,2131,4045,2147
16,Tractulus Simple,m-872651e7-785a-4bad-a5c0-d3a0ba8cbf54,4255,2127,4288,2141
16,Tractulus Simple,m-beb3311b-fdc6-46a3-9632-b29fcb34e940,4257,1807,4284,1819
16,Clivis Episema c,m-de1b0efa-78a4-4bb1-97fb-bd0186b85fb5,4371,1811,4435,1875
16,Clivis Simple,m-246e78b1-ce09-4eb9-ae13-c2c0ffb35d73,4470,2100,4496,2154
16,Virga Episema,m-25dd9056-dfa1-4a90-b1a1-c34e7d753395,4567,1797,4629,1863
16,Punctum Simple,m-9b188f9f-f8b9-46c8-8b94-e636640c92d2,4607,1835,4623,1852
16,Pes Rotundus,m-99763544-829d-4484-a148-b28bab5c8a97,4617,2087,4695,2157
16,Punctum Simple,m-f71012c5-4441-4b95-a844-4ac2d65b4eee,4624,1857,4642,1870
16,Clivis Episema c,m-5a08e57c-2775-4829-b2db-a81dfe38a77b,4662,1803,4724,1867
16,Pes Rotundus,m-0951ab50-0fea-4ff6-988d-93ce2d367924,4754,2075,4838,2145
